"Statistic Label","Sex","Industry","Province County or City","CensusYear","UNIT","VALUE"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork County","2002","Number","13003"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork County","2006","Number","12042"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork County","2011","Number","12868"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cork County","2016","Number","11946"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kerry","2002","Number","5866"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kerry","2006","Number","5040"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kerry","2011","Number","5621"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Kerry","2016","Number","4913"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick","2002","Number","4571"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick","2006","Number","4161"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick","2011","Number","4388"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick","2016","Number","4263"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick City","2002","Number","69"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick City","2006","Number","58"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick City","2011","Number","68"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick County","2002","Number","4502"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick County","2006","Number","4103"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick County","2011","Number","4320"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Tipperary","2002","Number","7020"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Tipperary","2006","Number","6784"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Tipperary","2011","Number","6817"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Tipperary","2016","Number","6740"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","North Tipperary","2002","Number","3014"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","North Tipperary","2006","Number","2822"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","North Tipperary","2011","Number","2939"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Tipperary","2002","Number","4006"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Tipperary","2006","Number","3962"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Tipperary","2011","Number","3878"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","South Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford","2002","Number","2885"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford","2006","Number","2724"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford","2011","Number","2604"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford","2016","Number","2589"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford City","2002","Number","124"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford City","2006","Number","135"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford City","2011","Number","101"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford City","2016","Number",""
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford County","2002","Number","2761"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford County","2006","Number","2589"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford County","2011","Number","2503"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Waterford County","2016","Number",""
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Connacht","2002","Number","17706"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Connacht","2006","Number","16296"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Connacht","2011","Number","17071"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Connacht","2016","Number","15333"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway","2002","Number","6615"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway","2006","Number","5968"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway","2011","Number","6224"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway","2016","Number","5668"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway City","2002","Number","200"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway City","2006","Number","219"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway City","2011","Number","190"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway City","2016","Number","163"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway County","2002","Number","6415"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway County","2006","Number","5749"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway County","2011","Number","6034"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Galway County","2016","Number","5505"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leitrim","2002","Number","1275"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leitrim","2006","Number","1173"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leitrim","2011","Number","1215"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Leitrim","2016","Number","1091"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Mayo","2002","Number","5089"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Mayo","2006","Number","4754"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Mayo","2011","Number","5411"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Mayo","2016","Number","4395"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Roscommon","2002","Number","2799"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Roscommon","2006","Number","2606"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Roscommon","2011","Number","2451"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Roscommon","2016","Number","2311"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Sligo","2002","Number","1928"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Sligo","2006","Number","1795"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Sligo","2011","Number","1770"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Sligo","2016","Number","1868"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Ulster (part of)","2002","Number","10265"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Ulster (part of)","2006","Number","9163"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Ulster (part of)","2011","Number","10277"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Ulster (part of)","2016","Number","10282"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cavan","2002","Number","3367"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cavan","2006","Number","2740"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cavan","2011","Number","3381"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Cavan","2016","Number","3455"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Donegal","2002","Number","4042"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Donegal","2006","Number","3796"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Donegal","2011","Number","4036"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Donegal","2016","Number","3977"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Monaghan","2002","Number","2856"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Monaghan","2006","Number","2627"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Monaghan","2011","Number","2860"
"Population 15 years and over at work","Both sexes","Agriculture, forestry and fishing","Monaghan","2016","Number","2850"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","State","2002","Number","6658"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","State","2006","Number","7751"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","State","2011","Number","5674"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","State","2016","Number","5055"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leinster","2002","Number","3511"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leinster","2006","Number","3976"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leinster","2011","Number","3201"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Leinster","2016","Number","2836"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Carlow","2002","Number","121"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Carlow","2006","Number","156"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Carlow","2011","Number","149"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Carlow","2016","Number","145"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin","2002","Number","349"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin","2006","Number","345"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin","2011","Number","260"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin","2016","Number","277"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin City","2002","Number","133"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin City","2006","Number","85"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin City","2011","Number","86"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dublin City","2016","Number","98"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dún Laoghaire-Rathdown","2002","Number","58"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dún Laoghaire-Rathdown","2006","Number","54"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dún Laoghaire-Rathdown","2011","Number","54"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Dún Laoghaire-Rathdown","2016","Number","55"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Fingal","2002","Number","45"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Fingal","2006","Number","75"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Fingal","2011","Number","42"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Fingal","2016","Number","51"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Dublin","2002","Number","113"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Dublin","2006","Number","131"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Dublin","2011","Number","78"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Dublin","2016","Number","73"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kildare","2002","Number","402"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kildare","2006","Number","400"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kildare","2011","Number","325"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kildare","2016","Number","355"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kilkenny","2002","Number","259"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kilkenny","2006","Number","297"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kilkenny","2011","Number","264"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kilkenny","2016","Number","152"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Laois","2002","Number","254"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Laois","2006","Number","288"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Laois","2011","Number","203"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Laois","2016","Number","187"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Longford","2002","Number","156"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Longford","2006","Number","184"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Longford","2011","Number","137"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Longford","2016","Number","134"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Louth","2002","Number","167"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Louth","2006","Number","186"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Louth","2011","Number","165"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Louth","2016","Number","85"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Meath","2002","Number","726"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Meath","2006","Number","905"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Meath","2011","Number","748"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Meath","2016","Number","704"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Offaly","2002","Number","598"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Offaly","2006","Number","638"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Offaly","2011","Number","585"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Offaly","2016","Number","455"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Westmeath","2002","Number","201"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Westmeath","2006","Number","238"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Westmeath","2011","Number","179"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Westmeath","2016","Number","130"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wexford","2002","Number","128"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wexford","2006","Number","166"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wexford","2011","Number","88"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wexford","2016","Number","104"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wicklow","2002","Number","150"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wicklow","2006","Number","173"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wicklow","2011","Number","98"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Wicklow","2016","Number","108"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Munster","2002","Number","1541"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Munster","2006","Number","1891"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Munster","2011","Number","1183"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Munster","2016","Number","904"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Clare","2002","Number","222"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Clare","2006","Number","261"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Clare","2011","Number","97"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Clare","2016","Number","117"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork","2002","Number","407"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork","2006","Number","481"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork","2011","Number","252"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork","2016","Number","224"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork City","2002","Number","24"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork City","2006","Number","26"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork City","2011","Number","24"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork City","2016","Number","15"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork County","2002","Number","383"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork County","2006","Number","455"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork County","2011","Number","228"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Cork County","2016","Number","209"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kerry","2002","Number","160"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kerry","2006","Number","247"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kerry","2011","Number","121"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Kerry","2016","Number","121"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick","2002","Number","144"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick","2006","Number","152"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick","2011","Number","152"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick","2016","Number","123"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick City","2002","Number","20"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick City","2006","Number","15"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick City","2011","Number","17"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick City","2016","Number",""
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick County","2002","Number","124"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick County","2006","Number","137"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick County","2011","Number","135"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Limerick County","2016","Number",""
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Tipperary","2002","Number","575"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Tipperary","2006","Number","684"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Tipperary","2011","Number","529"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","Tipperary","2016","Number","277"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","North Tipperary","2002","Number","396"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","North Tipperary","2006","Number","440"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","North Tipperary","2011","Number","333"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","North Tipperary","2016","Number",""
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Tipperary","2002","Number","179"
"Population 15 years and over at work","Both sexes","Mining, quarrying and turf production","South Tipperary","2006","Number","244"
